Gillen Atom Trap Ramp Controller
START TIME: 17:21:43 02-26-2026
17:21:43 02-26-2026	Attempting to connect ramp on port COM7 with baud rate 9600
17:21:44 02-26-2026	Ramp successfully connected on port COM7
17:21:44 02-26-2026	Attempting to connect DAVLL on port COM4 with baud rate 115200
17:22:31 02-26-2026	RAMP START: 0,DAVLL: [],[],
17:22:31 02-26-2026	Target Resistance: 12850 Target Current: 100.0
17:22:31 02-26-2026	Actual Resistance: 12834.9 Actual Current: 99.9293
17:22:31 02-26-2026	RAMP START: 0,DAVLL: [],[],
17:22:31 02-26-2026	RAMP START: 0,DAVLL: [],[],
17:22:31 02-26-2026	Target Resistance: 12850 Target Current: 100.0
17:22:32 02-26-2026	Actual Resistance: 12834.8 Actual Current: 99.93
17:22:32 02-26-2026	RAMP START: 0,DAVLL: [],[],
17:22:32 02-26-2026	RAMP START: 0,DAVLL: [],[],
17:22:32 02-26-2026	Target Resistance: 12850 Target Current: 100.0
17:22:33 02-26-2026	Actual Resistance: 12834.7 Actual Current: 99.93
17:22:33 02-26-2026	RAMP START: 0,DAVLL: [],[],
17:22:33 02-26-2026	RAMP START: 0,DAVLL: [],[],
17:22:33 02-26-2026	Target Resistance: 12850 Target Current: 100.0
17:22:34 02-26-2026	Actual Resistance: 12834.5 Actual Current: 99.93
17:22:34 02-26-2026	RAMP START: 0,DAVLL: [],[],
