Gillen Atom Trap Ramp Controller
START TIME: 16:34:45 03-03-2026
16:34:45 03-03-2026	Attempting to connect ramp on port COM7 with baud rate 9600
16:34:47 03-03-2026	Ramp successfully connected on port COM7
16:34:47 03-03-2026	Attempting to connect DAVLL on port COM4 with baud rate 115200
16:36:00 03-03-2026	Target Resistance: 12950 Target Current: 80
16:36:01 03-03-2026	Actual Resistance: 12934.1 Actual Current: 79.9343
16:36:01 03-03-2026	RAMP START: 0,DAVLL: [],[],
16:36:01 03-03-2026	Target Resistance: 12950 Target Current: 80
16:36:02 03-03-2026	Actual Resistance: 12934.1 Actual Current: 79.9343
16:36:02 03-03-2026	RAMP START: 0,DAVLL: [],[],
16:36:02 03-03-2026	Target Resistance: 12950 Target Current: 80
16:36:03 03-03-2026	Actual Resistance: 12933.9 Actual Current: 79.9345
