Gillen Atom Trap Ramp Controller
START TIME: 16:38:09 02-26-2026
16:38:10 02-26-2026	Attempting to connect ramp on port COM7 with baud rate 9600
16:38:11 02-26-2026	Ramp successfully connected on port COM7
16:38:11 02-26-2026	Attempting to connect DAVLL on port COM4 with baud rate 115200
16:39:03 02-26-2026	RAMP START: 0,DAVLL: [],[],
16:39:03 02-26-2026	Resistance: 12850 Current: 30.0
16:39:03 02-26-2026	RAMP START: 0,DAVLL: [],[],
16:39:03 02-26-2026	RAMP START: 0,DAVLL: [-16.002197265625, 0.0, 0.0, 0.0, 0.0, 0.00244140625, 0.001220703125, 0.0, 0.0, 0.001220703125, 0.001220703125, 0.00244140625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001220703125, 0.00244140625, 0.0, 0.0, 0.001220703125, 0.0, 0.003662109375, 0.0, 0.0, 0.001220703125, 0.0, 0.001220703125, 0.0, 0.001220703125, 0.001220703125, 0.0, 0.0, 0.00244140625, 0.0, 0.00244140625, 0.00244140625, 0.00244140625, 0.0, 0.00244140625, 0.001220703125, 0.0, 0.00244140625, 0.0, 0.001220703125, 0.0, 0.0, 0.0, 0.001220703125, 0.001220703125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00244140625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00244140625, 0.0, 0.0, 0.0, 0.001220703125, 0.001220703125, 0.0, 0.0, 0.001220703125, 0.0, 0.0, 0.0, 0.00244140625, 0.00244140625, 0.0, 0.0, 0.0, 0.001220703125, 0.001220703125, 0.0, 0.001220703125, 0.0, 0.001220703125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001220703125, 0.0, 0.001220703125, 0.0, 0.0, 0.001220703125, 0.00244140625, 0.0, 0.001220703125, 0.00244140625, 0.0, 0.0, 0.0, 0.00244140625, 0.00244140625, 0.0, 0.0, 0.00244140625, 0.00244140625, 0.00244140625, 0.003662109375, 0.001220703125, 0.001220703125, 0.00244140625, 0.00244140625, 0.0, 0.0, 0.0, 0.001220703125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00244140625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00244140625, 0.0, 0.001220703125],[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],
16:39:03 02-26-2026	Resistance: 12850 Current: 30.0
16:39:03 02-26-2026	RAMP START: 0,DAVLL: [-16.002197265625, 0.0, 0.0, 0.0, 0.0, 0.00244140625, 0.001220703125, 0.0, 0.0, 0.001220703125, 0.001220703125, 0.00244140625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001220703125, 0.00244140625, 0.0, 0.0, 0.001220703125, 0.0, 0.003662109375, 0.0, 0.0, 0.001220703125, 0.0, 0.001220703125, 0.0, 0.001220703125, 0.001220703125, 0.0, 0.0, 0.00244140625, 0.0, 0.00244140625, 0.00244140625, 0.00244140625, 0.0, 0.00244140625, 0.001220703125, 0.0, 0.00244140625, 0.0, 0.001220703125, 0.0, 0.0, 0.0, 0.001220703125, 0.001220703125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00244140625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00244140625, 0.0, 0.0, 0.0, 0.001220703125, 0.001220703125, 0.0, 0.0, 0.001220703125, 0.0, 0.0, 0.0, 0.00244140625, 0.00244140625, 0.0, 0.0, 0.0, 0.001220703125, 0.001220703125, 0.0, 0.001220703125, 0.0, 0.001220703125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001220703125, 0.0, 0.001220703125, 0.0, 0.0, 0.001220703125, 0.00244140625, 0.0, 0.001220703125, 0.00244140625, 0.0, 0.0, 0.0, 0.00244140625, 0.00244140625, 0.0, 0.0, 0.00244140625, 0.00244140625, 0.00244140625, 0.003662109375, 0.001220703125, 0.001220703125, 0.00244140625, 0.00244140625, 0.0, 0.0, 0.0, 0.001220703125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00244140625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00244140625, 0.0, 0.001220703125],[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],
16:39:04 02-26-2026	RAMP START: 1,DAVLL: [0.001220703125, 0.00244140625, 0.00244140625, 0.00244140625, 0.0, 0.0, 0.001220703125, 0.001220703125, 0.0, 0.0, 0.0, 0.001220703125, 0.0, 0.0, 0.0, 0.00244140625, 0.0, 0.0, 0.0, 0.001220703125, 0.0, 0.0, 0.0, 0.00244140625, 0.001220703125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001220703125, 0.003662109375, 0.00244140625, 0.001220703125, 0.0, 0.001220703125, 0.001220703125, 0.00244140625, 0.0, 0.001220703125, 0.00244140625, 0.0, 0.0, 0.0, 0.001220703125, 0.0, 0.0, 0.0, 0.0, 0.00244140625, 0.0, 0.003662109375, 0.001220703125, 0.0, 0.0, 0.001220703125, 0.0, 0.001220703125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00244140625, 0.0, 0.0, 0.0, 0.001220703125, 0.001220703125, 0.0, 0.0, 0.003662109375, 0.0, 0.0, 0.0, 0.0, 0.00244140625, 0.0, 0.001220703125, 0.00244140625, 0.001220703125, 0.003662109375, 0.001220703125, 0.0, 0.0, 0.001220703125, 0.00244140625, 0.0, 0.0, 0.0, 0.001220703125, 0.0, 0.0, 0.0, 0.00244140625, 0.0, 0.0, 0.0, 0.00244140625, 0.0, 0.00244140625, 0.0, 0.00244140625, 0.0, 0.0, 0.001220703125, 0.0, 0.0, 0.001220703125, 0.0, 0.001220703125, 0.00244140625, 0.001220703125, 0.001220703125, 0.0, 0.0, 0.001220703125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001220703125, 0.0, 0.0, 0.001220703125, 0.0, 0.0, 0.0, 0.00244140625, 0.0, 0.00244140625, 0.0, 0.0, 0.001220703125, 0.0048828125, 0.0, 0.00244140625, 0.0, 0.0, 0.00244140625, 0.0, 0.00244140625, 0.00244140625, 0.00244140625, 0.0, 0.0, 0.0, 0.001220703125, 0.00244140625, 0.0, 0.001220703125, 0.001220703125, 0.0, 0.0, 0.0, 0.0, 0.00244140625, 0.0, 0.0, 0.00244140625, 0.0, 0.006103515625, 0.00244140625, 0.0, 0.0, 0.001220703125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00244140625, 0.0, 0.0, 0.0, 0.001220703125, 0.0, 0.00244140625, 0.0, 0.00244140625, 0.00244140625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00244140625, 0.001220703125, 0.006103515625, 0.001220703125, 0.0, 0.0, 0.0, 0.001220703125, 0.0, 0.0, 0.001220703125, 0.0, 0.001220703125, 0.0, 0.0, 0.00244140625, 0.0, 0.0, 0.0, 0.001220703125, 0.0, 0.001220703125, 0.0, 0.0, 0.001220703125, 0.003662109375, 0.0, 0.0, 0.0, 0.0, 0.001220703125, 0.0, 0.00244140625, 0.0048828125, 0.006103515625, 0.0, 0.0, 0.0, 0.00244140625, 0.00244140625, 0.0, 0.001220703125, 0.001220703125, 0.0, 0.0, 0.0, 0.001220703125, 0.0, 0.0, 0.0, 0.00244140625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001220703125, 0.0, 0.0, 0.001220703125, 0.0, 0.0, 0.0, 0.001220703125, 0.0, 0.00244140625, 0.0, 0.0, 0.0, 0.00244140625, 0.00244140625, 0.00244140625, 0.0, 0.00244140625, 0.0, 0.0, 0.0, 0.0, 0.001220703125, 0.00244140625, 0.0, 0.001220703125, 0.0, 0.00244140625, 0.0, 0.0, 0.0, 0.00244140625, 0.0, 0.001220703125, 0.0, 0.001220703125, 0.0, 0.0, 0.0, 0.0, 0.001220703125, 0.0, 0.0, 0.0, 0.001220703125, 0.0, 0.003662109375, 0.0, 0.0, 0.001220703125, 0.00244140625, 0.0, 0.0, 0.0, 0.0, 0.00244140625, 0.0, 0.0, 0.001220703125, 0.0, 0.0, 0.0, 0.0, 0.001220703125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001220703125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00244140625, 0.0, 0.00244140625, 0.001220703125, 0.0, 0.0, 0.0, 0.001220703125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001220703125, 0.0048828125, 0.00244140625, 0.0, 0.0, 0.00244140625, 0.0048828125, 0.001220703125, 0.006103515625, 0.0, 0.0, 0.0, 0.0, 0.00244140625, 0.0, 0.001220703125, 0.001220703125, 0.0, 0.001220703125, 0.0, 0.006103515625, 0.0, 0.0, 0.0, 0.001220703125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001220703125, 0.0, 0.0, 0.001220703125, 0.0048828125, 0.001220703125, 0.00244140625, 0.001220703125, 0.0, 0.001220703125, 0.001220703125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00244140625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00244140625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001220703125, 0.00244140625, 0.0, 0.0, 0.00244140625, 0.00244140625, 0.0048828125, 0.001220703125, 0.0, 0.0, 0.00244140625, 0.00244140625, 0.0, 0.0, 0.0, 0.0, 0.001220703125, 0.0, 0.001220703125, 0.0, 0.0, 0.0, 0.001220703125, 0.001220703125, 0.00244140625, 0.00244140625, 0.0, 0.0, 0.001220703125, 0.0, 0.0, 0.0, 0.001220703125, 0.006103515625, 0.0, 0.00244140625, 0.0, 0.003662109375, 0.00244140625, 0.00244140625, 0.0, 0.003662109375, 0.001220703125, 0.00244140625, 0.0, 0.001220703125, 0.0, 0.0, 0.00244140625, 0.001220703125, 0.00244140625, 0.001220703125, 0.0, 0.001220703125, 0.00244140625, 0.00244140625, 0.003662109375, 0.006103515625, 0.0, 0.001220703125, 0.0, 0.0, 0.00244140625, 0.001220703125, 0.003662109375, 0.00244140625, 0.0, 0.001220703125, 0.00244140625, 0.00244140625, 0.0, 0.0, 0.00244140625, 0.001220703125, 0.00244140625, 0.0, 0.0, 0.00244140625, 0.0, 0.0, 0.0, 0.00244140625, 0.00244140625, 0.0, 0.0, 0.00244140625, 0.00244140625, 0.006103515625, 0.003662109375, 0.001220703125, 0.0, 0.001220703125],[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],
16:39:04 02-26-2026	Resistance: 12850 Current: 30.0
