Gillen Atom Trap Ramp Controller
START TIME: 17:55:07 02-24-2026
17:55:07 02-24-2026	Attempting to connect ramp on port COM7 with baud rate 9600
17:55:09 02-24-2026	Ramp successfully connected on port COM7
17:55:09 02-24-2026	Attempting to connect DAVLL on port COM4 with baud rate 115200
17:55:10 02-24-2026	RAMP START: 0,DAVLL: [],[],
17:55:10 02-24-2026	Resistance: 12750 Current: 30.0
17:55:10 02-24-2026	RAMP START: 0,DAVLL: [],[],
17:55:10 02-24-2026	RAMP START: 0,DAVLL: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],[0.015869140625, 0.01220703125, 0.01220703125, 0.013427734375, 0.008544921875, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.008544921875, 0.01220703125, 0.013427734375, 0.01220703125, 0.01220703125, 0.01708984375, 0.01220703125, 0.01220703125, 0.013427734375, 0.01220703125, 0.008544921875, 0.013427734375, 0.01220703125, 0.013427734375, 0.01220703125, 0.01220703125, 0.01220703125, 0.013427734375, 0.01220703125, 0.01220703125, 0.01708984375, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.01708984375, 0.018310546875, 0.01220703125, 0.01220703125, 0.013427734375, 0.013427734375, 0.01220703125, 0.01220703125, 0.01220703125, 0.015869140625, 0.01220703125, 0.013427734375, 0.01220703125, 0.013427734375, 0.013427734375, 0.013427734375, 0.013427734375, 0.009765625, 0.01220703125, 0.01220703125, 0.013427734375, 0.009765625, 0.01220703125, 0.01220703125, 0.01220703125, 0.008544921875, 0.013427734375, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.013427734375, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.008544921875, 0.018310546875, 0.01220703125, 0.01220703125, 0.013427734375, 0.013427734375, 0.008544921875, 0.01220703125, 0.01708984375, 0.01220703125, 0.013427734375, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.013427734375, 0.01220703125, 0.01220703125, 0.013427734375, 0.009765625, 0.013427734375, 0.01220703125, 0.01220703125, 0.01220703125, 0.013427734375, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.009765625, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.013427734375, 0.01220703125, 0.01220703125, 0.015869140625, 0.01220703125, 0.01220703125, 0.013427734375, 0.01220703125, 0.01220703125, 0.015869140625, 0.01708984375, 0.013427734375],
17:55:10 02-24-2026	Resistance: 12750 Current: 30.5
17:55:10 02-24-2026	RAMP START: 0,DAVLL: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],[0.015869140625, 0.01220703125, 0.01220703125, 0.013427734375, 0.008544921875, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.008544921875, 0.01220703125, 0.013427734375, 0.01220703125, 0.01220703125, 0.01708984375, 0.01220703125, 0.01220703125, 0.013427734375, 0.01220703125, 0.008544921875, 0.013427734375, 0.01220703125, 0.013427734375, 0.01220703125, 0.01220703125, 0.01220703125, 0.013427734375, 0.01220703125, 0.01220703125, 0.01708984375, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.01708984375, 0.018310546875, 0.01220703125, 0.01220703125, 0.013427734375, 0.013427734375, 0.01220703125, 0.01220703125, 0.01220703125, 0.015869140625, 0.01220703125, 0.013427734375, 0.01220703125, 0.013427734375, 0.013427734375, 0.013427734375, 0.013427734375, 0.009765625, 0.01220703125, 0.01220703125, 0.013427734375, 0.009765625, 0.01220703125, 0.01220703125, 0.01220703125, 0.008544921875, 0.013427734375, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.013427734375, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.008544921875, 0.018310546875, 0.01220703125, 0.01220703125, 0.013427734375, 0.013427734375, 0.008544921875, 0.01220703125, 0.01708984375, 0.01220703125, 0.013427734375, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.013427734375, 0.01220703125, 0.01220703125, 0.013427734375, 0.009765625, 0.013427734375, 0.01220703125, 0.01220703125, 0.01220703125, 0.013427734375, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.009765625, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.013427734375, 0.01220703125, 0.01220703125, 0.015869140625, 0.01220703125, 0.01220703125, 0.013427734375, 0.01220703125, 0.01220703125, 0.015869140625, 0.01708984375, 0.013427734375],
17:55:11 02-24-2026	RAMP START: 1,DAVLL: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],[0.01220703125, 0.013427734375, 0.013427734375, 0.015869140625, 0.013427734375, 0.01220703125, 0.01220703125, 0.01220703125, 0.013427734375, 0.01220703125, 0.008544921875, 0.01708984375, 0.01220703125, 0.008544921875, 0.01220703125, 0.008544921875, 0.015869140625, 0.01220703125, 0.013427734375, 0.015869140625, 0.013427734375, 0.01220703125, 0.013427734375, 0.01220703125, 0.01220703125, 0.013427734375, 0.013427734375, 0.01220703125, 0.01220703125, 0.01220703125, 0.008544921875, 0.01220703125, 0.01220703125, 0.013427734375, 0.01220703125, 0.01220703125, 0.013427734375, 0.013427734375, 0.01220703125, 0.015869140625, 0.015869140625, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.009765625, 0.01220703125, 0.008544921875, 0.008544921875, 0.013427734375, 0.01708984375, 0.008544921875, 0.01220703125, 0.013427734375, 0.01220703125, 0.013427734375, 0.01220703125, 0.01220703125, 0.013427734375, 0.01220703125, 0.01220703125, 0.01220703125, 0.008544921875, 0.01220703125, 0.01220703125, 0.008544921875, 0.01220703125, 0.01708984375, 0.013427734375, 0.01220703125, 0.01220703125, 0.013427734375, 0.01220703125, 0.013427734375, 0.01220703125, 0.01220703125, 0.01220703125, 0.008544921875, 0.01220703125, 0.01220703125, 0.013427734375, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.013427734375, 0.015869140625, 0.008544921875, 0.01220703125, 0.01220703125, 0.013427734375, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.013427734375, 0.01220703125, 0.01708984375, 0.01220703125, 0.015869140625, 0.01708984375, 0.01708984375, 0.013427734375, 0.013427734375, 0.013427734375, 0.01220703125, 0.01220703125, 0.013427734375, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.013427734375, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.013427734375, 0.01220703125, 0.01220703125, 0.01220703125, 0.013427734375, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.015869140625, 0.013427734375, 0.01220703125, 0.013427734375, 0.01220703125, 0.01220703125, 0.01220703125, 0.008544921875, 0.01220703125, 0.01220703125, 0.01220703125, 0.01708984375, 0.008544921875, 0.01220703125, 0.013427734375, 0.01220703125, 0.01220703125, 0.01220703125, 0.013427734375, 0.01220703125, 0.01220703125, 0.013427734375, 0.01220703125, 0.01220703125, 0.01220703125, 0.013427734375, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.013427734375, 0.013427734375, 0.01220703125, 0.013427734375, 0.01220703125, 0.008544921875, 0.01220703125, 0.013427734375, 0.01220703125, 0.008544921875, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.013427734375, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.013427734375, 0.01220703125, 0.01220703125, 0.013427734375, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.013427734375, 0.01220703125, 0.01220703125, 0.009765625, 0.013427734375, 0.013427734375, 0.008544921875, 0.01708984375, 0.008544921875, 0.01220703125, 0.008544921875, 0.01220703125, 0.01220703125, 0.01220703125, 0.008544921875, 0.01220703125, 0.01220703125, 0.008544921875, 0.013427734375, 0.01220703125, 0.01220703125, 0.01220703125, 0.013427734375, 0.01220703125, 0.013427734375, 0.01220703125, 0.013427734375, 0.01220703125],
17:55:11 02-24-2026	Resistance: 12750 Current: 31.0
