Gillen Atom Trap Ramp Controller
START TIME: 17:49:37 02-24-2026
17:49:38 02-24-2026	Attempting to connect ramp on port COM7 with baud rate 9600
17:49:39 02-24-2026	Ramp successfully connected on port COM7
17:49:39 02-24-2026	Attempting to connect DAVLL on port COM4 with baud rate 115200
17:49:40 02-24-2026	RAMP START: 0,DAVLL: [],[],
17:49:40 02-24-2026	Resistance: 12750 Current: 30.0
17:49:40 02-24-2026	RAMP START: 0,DAVLL: [],[],
17:49:40 02-24-2026	RAMP START: 0,DAVLL: [],[],
17:49:40 02-24-2026	Resistance: 12750 Current: 30.5
17:49:40 02-24-2026	RAMP START: 0,DAVLL: [],[],
17:49:40 02-24-2026	RAMP START: 0,DAVLL: [0.0],[0.008544921875],
17:49:40 02-24-2026	Resistance: 12750 Current: 31.0
17:49:40 02-24-2026	RAMP START: 0,DAVLL: [0.0],[0.008544921875],
17:49:41 02-24-2026	RAMP START: 0,DAVLL: [],[],
17:49:41 02-24-2026	Resistance: 12750 Current: 31.5
17:49:41 02-24-2026	RAMP START: 0,DAVLL: [],[],
17:49:41 02-24-2026	RAMP START: 0,DAVLL: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],[0.008544921875, 0.01220703125, 0.013427734375, 0.01220703125, 0.01220703125, 0.008544921875, 0.008544921875, 0.01220703125, 0.01220703125, 0.01220703125, 0.006103515625, 0.01220703125, 0.006103515625, 0.008544921875, 0.01220703125, 0.01220703125, 0.008544921875, 0.008544921875, 0.01220703125, 0.008544921875, 0.013427734375, 0.008544921875, 0.008544921875, 0.013427734375, 0.01220703125, 0.008544921875, 0.01220703125, 0.008544921875, 0.009765625, 0.01220703125, 0.008544921875, 0.01220703125, 0.01220703125, 0.013427734375, 0.008544921875, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.006103515625, 0.01220703125, 0.008544921875, 0.008544921875, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.008544921875, 0.01220703125, 0.013427734375, 0.01220703125, 0.013427734375, 0.013427734375, 0.01220703125, 0.01220703125, 0.01220703125, 0.008544921875, 0.01220703125, 0.006103515625, 0.01220703125, 0.008544921875, 0.006103515625, 0.01220703125, 0.01220703125, 0.008544921875, 0.008544921875, 0.01220703125, 0.008544921875, 0.01220703125, 0.008544921875, 0.008544921875, 0.008544921875, 0.008544921875, 0.01220703125, 0.01220703125, 0.008544921875, 0.008544921875, 0.01220703125, 0.008544921875, 0.009765625, 0.01220703125, 0.01220703125, 0.01220703125, 0.006103515625, 0.01220703125, 0.008544921875, 0.008544921875, 0.008544921875, 0.008544921875, 0.013427734375, 0.008544921875, 0.01220703125, 0.008544921875, 0.006103515625, 0.01220703125, 0.009765625, 0.006103515625, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.008544921875, 0.008544921875, 0.01220703125, 0.008544921875, 0.01220703125, 0.008544921875, 0.006103515625, 0.01220703125, 0.008544921875, 0.01220703125, 0.01220703125],
17:49:41 02-24-2026	Resistance: 12750 Current: 32.0
17:49:41 02-24-2026	RAMP START: 0,DAVLL: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],[0.008544921875, 0.01220703125, 0.013427734375, 0.01220703125, 0.01220703125, 0.008544921875, 0.008544921875, 0.01220703125, 0.01220703125, 0.01220703125, 0.006103515625, 0.01220703125, 0.006103515625, 0.008544921875, 0.01220703125, 0.01220703125, 0.008544921875, 0.008544921875, 0.01220703125, 0.008544921875, 0.013427734375, 0.008544921875, 0.008544921875, 0.013427734375, 0.01220703125, 0.008544921875, 0.01220703125, 0.008544921875, 0.009765625, 0.01220703125, 0.008544921875, 0.01220703125, 0.01220703125, 0.013427734375, 0.008544921875, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.006103515625, 0.01220703125, 0.008544921875, 0.008544921875, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.008544921875, 0.01220703125, 0.013427734375, 0.01220703125, 0.013427734375, 0.013427734375, 0.01220703125, 0.01220703125, 0.01220703125, 0.008544921875, 0.01220703125, 0.006103515625, 0.01220703125, 0.008544921875, 0.006103515625, 0.01220703125, 0.01220703125, 0.008544921875, 0.008544921875, 0.01220703125, 0.008544921875, 0.01220703125, 0.008544921875, 0.008544921875, 0.008544921875, 0.008544921875, 0.01220703125, 0.01220703125, 0.008544921875, 0.008544921875, 0.01220703125, 0.008544921875, 0.009765625, 0.01220703125, 0.01220703125, 0.01220703125, 0.006103515625, 0.01220703125, 0.008544921875, 0.008544921875, 0.008544921875, 0.008544921875, 0.013427734375, 0.008544921875, 0.01220703125, 0.008544921875, 0.006103515625, 0.01220703125, 0.009765625, 0.006103515625, 0.01220703125, 0.01220703125, 0.01220703125, 0.01220703125, 0.008544921875, 0.008544921875, 0.01220703125, 0.008544921875, 0.01220703125, 0.008544921875, 0.006103515625, 0.01220703125, 0.008544921875, 0.01220703125, 0.01220703125],
